district,traffic,weather,intervention,density,stress,roi
Bangsar,4798.849367047169,2,2,6500,54.0,0.092
Cheras,7450.977005011199,1,2,9500,46.3,0.135
Bukit Bintang,8448.731464604787,2,0,11000,72.2,0.0
Bukit Bintang,7084.3113814808985,0,2,11000,59.4,0.021
Bukit Bintang,7109.847620694826,0,2,11000,59.5,0.021
Cheras,6763.319860777341,0,2,9500,57.8,0.018
Bukit Bintang,8644.56533903861,2,3,11000,73.2,0.0
Cheras,6185.2647578165115,1,0,9500,39.9,0.0
Bukit Bintang,7030.496560387979,0,0,11000,44.2,0.0
Cheras,5766.925856827523,0,3,9500,37.8,0.0
Bukit Bintang,6772.893966029515,0,2,11000,57.9,0.021
Bukit Bintang,6867.568096318068,0,1,11000,37.3,0.083
Bangsar,5388.160454005129,0,1,6500,29.9,0.049
Cheras,7406.816716320446,1,0,9500,46.0,0.0
Cheras,6236.655434458176,0,1,9500,34.2,0.072
Bangsar,4407.81865883826,0,1,6500,25.0,0.049
Bangsar,5096.507013119868,1,1,6500,28.5,0.049
Bangsar,4935.762028493125,2,2,6500,54.7,0.092
Bangsar,5153.436983459119,2,3,6500,55.8,0.0
Bukit Bintang,8429.321758165528,1,2,11000,51.1,0.156
Bangsar,6177.846973239381,2,3,6500,60.9,0.0
Bukit Bintang,7946.261653873282,1,2,11000,48.7,0.156
Bukit Bintang,8179.864195535905,2,1,11000,64.9,0.083
Cheras,6142.6595526349765,0,1,9500,33.7,0.072
Cheras,6428.168104189737,2,2,9500,62.1,0.135
Bangsar,4593.578863466633,0,2,6500,47.0,0.012
Bukit Bintang,9167.984617133765,1,3,11000,54.8,0.0
Bangsar,5026.206576269567,2,2,6500,55.1,0.092
Bukit Bintang,9450.49433787389,2,0,11000,77.3,0.0
Bangsar,4270.438970512991,0,2,6500,45.4,0.012
Bukit Bintang,8408.58514253939,1,1,11000,45.0,0.083
Bangsar,3897.0785578537,0,1,6500,22.5,0.049
Cheras,7130.962439521129,2,0,9500,65.7,0.0
Bangsar,4666.108476092515,0,1,6500,26.3,0.049
Bangsar,5712.221290739427,1,2,6500,37.6,0.092
Bangsar,5013.565043302541,0,0,6500,34.1,0.0
Bangsar,4785.245563840235,2,0,6500,53.9,0.0
Bangsar,4605.877318128563,2,3,6500,53.0,0.0
Cheras,6635.664481152806,1,3,9500,42.2,0.0
Bukit Bintang,7897.9211186951325,2,1,11000,63.5,0.083
Bukit Bintang,6767.911747636575,0,2,11000,57.8,0.021
Cheras,6845.841618588294,1,1,9500,37.2,0.072
Cheras,5723.466865511698,0,1,9500,31.6,0.072
Bangsar,6476.096253095827,2,2,6500,62.4,0.092
Bangsar,5171.3485720649805,2,1,6500,49.9,0.049
Bukit Bintang,8545.013038726247,2,3,11000,72.7,0.0
Bangsar,5643.336242494611,2,3,6500,58.2,0.0
Bangsar,5296.649969716042,2,0,6500,56.5,0.0
Bangsar,5124.110672840062,0,1,6500,28.6,0.049
Cheras,6820.805266209736,2,2,9500,64.1,0.135
Bukit Bintang,8402.12282322402,1,2,11000,51.0,0.156
Bukit Bintang,8222.24715432443,1,2,11000,50.1,0.156
Bangsar,4765.848841937066,0,0,6500,32.8,0.0
Bangsar,4727.10656602648,0,3,6500,32.6,0.0
Bukit Bintang,9452.017441814156,2,2,11000,77.3,0.156
Bangsar,5631.126995550109,2,2,6500,58.2,0.092
Bangsar,5102.310543475722,2,2,6500,55.5,0.092
Bangsar,4106.481862532968,0,0,6500,29.5,0.0
Bukit Bintang,8340.505215620615,1,2,11000,50.7,0.156
Cheras,7382.327579769496,2,1,9500,60.9,0.072
Bangsar,5055.519893821613,0,2,6500,49.3,0.012
Bukit Bintang,7273.8163870480785,0,0,11000,45.4,0.0
Bukit Bintang,7719.902218807007,1,3,11000,47.6,0.0
Cheras,6895.620607851734,2,1,9500,58.5,0.072
Bukit Bintang,9129.743119140629,2,2,11000,75.6,0.156
Cheras,7367.543350481893,2,0,9500,66.8,0.0
Bukit Bintang,7657.534457869821,0,1,11000,41.3,0.083
Cheras,6816.04586597281,1,3,9500,43.1,0.0
Bukit Bintang,9315.818111121687,2,3,11000,76.6,0.0
Bangsar,5316.636677773012,2,3,6500,56.6,0.0
Bangsar,5785.7243779228975,1,3,6500,37.9,0.0
Bangsar,4825.184145149373,1,1,6500,27.1,0.049
Bangsar,5514.77760077871,2,2,6500,57.6,0.092
Cheras,7004.893938155976,1,3,9500,44.0,0.0
Bukit Bintang,8926.127893029361,1,1,11000,47.6,0.083
Bukit Bintang,8550.001926587793,2,3,11000,72.8,0.0
Bangsar,4857.376125227998,0,3,6500,33.3,0.0
Bangsar,4238.901111145897,0,1,6500,24.2,0.049
Bukit Bintang,8606.843223695369,2,2,11000,73.0,0.156
Bukit Bintang,8967.809427389102,2,3,11000,74.8,0.0
Bukit Bintang,7362.211864951007,2,0,11000,66.8,0.0
Cheras,6418.32481024662,0,1,9500,35.1,0.072
Cheras,6727.516303177612,2,3,9500,63.6,0.0
Cheras,6667.323385088115,1,2,9500,42.3,0.135
Bangsar,5824.937019008154,1,3,6500,38.1,0.0
Bukit Bintang,8085.50606194785,2,3,11000,70.4,0.0
Bukit Bintang,8047.132707435944,1,1,11000,43.2,0.083
Bukit Bintang,8433.345912540653,1,1,11000,45.2,0.083
Bangsar,5021.8358140319315,2,1,6500,49.1,0.049
Bukit Bintang,8940.335223073782,2,2,11000,74.7,0.156
Bukit Bintang,8721.455943696385,1,0,11000,52.6,0.0
Bukit Bintang,6870.01836435082,0,1,11000,37.4,0.083
Bangsar,5366.936501164123,1,1,6500,29.8,0.049
Cheras,7514.0410133238665,1,1,9500,40.6,0.072
Bangsar,5634.375411457996,2,2,6500,58.2,0.092
Bangsar,5363.215514593302,1,2,6500,35.8,0.092
Cheras,7425.269618849084,1,0,9500,46.1,0.0
Cheras,5482.27578877738,0,0,9500,36.4,0.0
Bukit Bintang,6787.0778238650355,0,1,11000,36.9,0.083
Bukit Bintang,8582.491928251242,2,1,11000,66.9,0.083
Cheras,7457.856885861296,2,1,9500,61.3,0.072
Cheras,6821.936722934587,1,0,9500,43.1,0.0
Cheras,5284.0781601696835,0,1,9500,29.4,0.072
Bukit Bintang,8503.962635169877,2,2,11000,72.5,0.156
Bangsar,6488.461304192921,1,2,6500,41.4,0.092
Bangsar,5407.744104554549,2,2,6500,57.0,0.092
Cheras,6883.087882238459,2,0,9500,64.4,0.0
Bukit Bintang,7918.89526591582,0,2,11000,63.6,0.021
Bangsar,5777.104424472585,1,0,6500,37.9,0.0
Cheras,7267.8577928066,1,1,9500,39.3,0.072
Cheras,7147.361563655193,1,3,9500,44.7,0.0
Bangsar,5126.0154206137095,2,0,6500,55.6,0.0
Cheras,7037.349691475455,2,2,9500,65.2,0.135
Bangsar,5395.314009251121,1,3,6500,36.0,0.0
Bukit Bintang,6930.920616181883,1,0,11000,43.7,0.0
Cheras,6571.855452310886,2,2,9500,62.9,0.135
Cheras,5862.021489947412,0,3,9500,38.3,0.0
Cheras,5532.75309235029,0,2,9500,51.7,0.018
Bangsar,5235.577168895611,1,0,6500,35.2,0.0
Cheras,7482.063077052566,2,0,9500,67.4,0.0
Cheras,6754.708794069265,2,0,9500,63.8,0.0
Bangsar,5767.563482463367,2,3,6500,58.8,0.0
Bukit Bintang,8673.7085859837,1,0,11000,52.4,0.0
Cheras,6424.5542959935965,0,3,9500,41.1,0.0
Bangsar,4437.668485469163,0,1,6500,25.2,0.049
Cheras,7065.234311686525,1,1,9500,38.3,0.072
Bukit Bintang,7113.537278917674,0,2,11000,59.6,0.021
Cheras,6944.113770980046,1,0,9500,43.7,0.0
Cheras,6936.602809566502,2,0,9500,64.7,0.0
Cheras,5764.918422308966,2,1,9500,52.8,0.072
Bangsar,5977.60475924082,2,3,6500,59.9,0.0
Bukit Bintang,9058.980306615278,2,3,11000,75.3,0.0
Cheras,6515.583553810185,2,3,9500,62.6,0.0
Cheras,6782.462535444285,1,3,9500,42.9,0.0
Cheras,7003.436837366984,2,2,9500,65.0,0.135
Bangsar,5748.361137808684,2,1,6500,52.7,0.049
Cheras,6380.486329775329,2,1,9500,55.9,0.072
Cheras,7625.483110017914,2,1,9500,62.1,0.072
Cheras,6227.21611003941,0,1,9500,34.1,0.072
Bukit Bintang,7722.129764083236,2,1,11000,62.6,0.083
Bangsar,4084.9005282340454,0,2,6500,44.4,0.012
Bangsar,4886.516909924373,0,0,6500,33.4,0.0
Bukit Bintang,7204.363322874065,0,2,11000,60.0,0.021
Cheras,5636.222112214873,0,2,9500,52.2,0.018
Bangsar,4981.276888115047,2,3,6500,54.9,0.0
Bukit Bintang,7823.482610605703,0,0,11000,48.1,0.0
Cheras,5033.669664718283,0,2,9500,49.2,0.018
Bangsar,5580.9124421514325,2,3,6500,57.9,0.0
Bukit Bintang,8677.964611245054,1,0,11000,52.4,0.0
Bukit Bintang,7777.831499617508,1,1,11000,41.9,0.083
Bukit Bintang,8817.57291153717,2,3,11000,74.1,0.0
Cheras,6769.702736228316,2,2,9500,63.8,0.135
Cheras,7566.803367958529,1,3,9500,46.8,0.0
Bukit Bintang,7873.591024406838,2,3,11000,69.4,0.0
Bukit Bintang,7536.069391676687,0,0,11000,46.7,0.0
Cheras,5480.1290050881025,0,2,9500,51.4,0.018
Cheras,8255.715337541249,1,0,9500,50.3,0.0
Bangsar,5825.886657405699,2,1,6500,53.1,0.049
Bangsar,5435.006657091556,0,0,6500,36.2,0.0
Cheras,6604.867023023323,2,3,9500,63.0,0.0
Bukit Bintang,8984.44623414447,2,1,11000,68.9,0.083
Bukit Bintang,6844.908291517468,0,1,11000,37.2,0.083
Cheras,6690.536807851625,1,1,9500,36.5,0.072
Bukit Bintang,8382.079279545495,2,1,11000,65.9,0.083
Cheras,7453.782586258746,2,1,9500,61.3,0.072
Cheras,6501.231542417,2,1,9500,56.5,0.072
Bukit Bintang,8581.23268743281,1,2,11000,51.9,0.156
Cheras,6147.502526132037,2,3,9500,60.7,0.0
Bukit Bintang,8664.469569948555,1,1,11000,46.3,0.083
Cheras,6504.190776565697,2,3,9500,62.5,0.0
Bukit Bintang,8607.915566070824,2,2,11000,73.0,0.156
Cheras,5878.653329448516,0,1,9500,32.4,0.072
Cheras,6006.6774276047945,2,1,9500,54.0,0.072
Cheras,5413.190669296024,0,1,9500,30.1,0.072
Bangsar,5104.396142412281,0,2,6500,49.5,0.012
Bukit Bintang,8029.901749994403,2,1,11000,64.1,0.083
Bukit Bintang,8863.27196603514,2,2,11000,74.3,0.156
Bangsar,5739.474358977832,2,3,6500,58.7,0.0
Bukit Bintang,9219.193109840962,1,2,11000,55.1,0.156
Bangsar,5416.93893331643,2,0,6500,57.1,0.0
Bukit Bintang,7067.423580468386,0,0,11000,44.3,0.0
Bukit Bintang,9025.867168065528,2,2,11000,75.1,0.156
Cheras,6643.008574958835,0,0,9500,42.2,0.0
Bukit Bintang,8206.926788633195,1,1,11000,44.0,0.083
Bangsar,4213.084105678249,0,1,6500,24.1,0.049
Cheras,7280.734314518901,1,0,9500,45.4,0.0
Bangsar,5006.224034637956,2,2,6500,55.0,0.092
Cheras,7936.484440562283,2,2,9500,69.7,0.135
Bukit Bintang,8695.881591649266,2,1,11000,67.5,0.083
Bangsar,4136.294561123301,0,0,6500,29.7,0.0
Bangsar,4568.468542992869,0,0,6500,31.8,0.0
Bangsar,4635.8446745037,2,0,6500,53.2,0.0
Cheras,5755.869094190187,1,2,9500,37.8,0.135
Bukit Bintang,8037.69734971797,1,1,11000,43.2,0.083
Bukit Bintang,7114.6521551966325,0,0,11000,44.6,0.0
Bangsar,5339.956579412319,1,0,6500,35.7,0.0
Cheras,6609.875666065625,1,3,9500,42.0,0.0
Bangsar,4485.744545550012,0,1,6500,25.4,0.049
Cheras,6892.938768806168,2,2,9500,64.5,0.135
Bukit Bintang,8447.330079391584,2,2,11000,72.2,0.156
Cheras,7375.270032390875,2,0,9500,66.9,0.0
Cheras,7318.307618686641,1,1,9500,39.6,0.072
Bukit Bintang,8816.684697667992,2,2,11000,74.1,0.156
Cheras,7046.215045762446,2,2,9500,65.2,0.135
Bangsar,4971.3118169006575,2,3,6500,54.9,0.0
Cheras,6446.909525404621,2,2,9500,62.2,0.135
Bukit Bintang,7352.131819737123,0,3,11000,45.8,0.0
Bangsar,5321.387467480501,2,2,6500,56.6,0.092
Cheras,6641.813783504437,2,2,9500,63.2,0.135
Bangsar,5093.311288690521,1,2,6500,34.5,0.092
Bukit Bintang,9205.004532634055,2,1,11000,70.0,0.083
Bangsar,5674.484891656635,1,0,6500,37.4,0.0
Bukit Bintang,8751.461065676263,1,3,11000,52.8,0.0
Bukit Bintang,8835.92972456099,2,2,11000,74.2,0.156
Bukit Bintang,8572.519890599537,1,2,11000,51.9,0.156
Cheras,5339.272612642293,0,3,9500,35.7,0.0
Bukit Bintang,7185.104651987944,0,3,11000,44.9,0.0
Bukit Bintang,8423.332999959222,2,0,11000,72.1,0.0
Bukit Bintang,8491.248610570421,1,2,11000,51.5,0.156
Cheras,7580.362347251998,1,0,9500,46.9,0.0
Cheras,6600.409285082057,0,3,9500,42.0,0.0
Bangsar,5488.662010577501,1,1,6500,30.4,0.049
Bangsar,5893.388739838197,2,3,6500,59.5,0.0
Bangsar,5072.680992283048,0,2,6500,49.4,0.012
Bukit Bintang,9361.350926517978,1,2,11000,55.8,0.156
Cheras,5591.928173009079,0,3,9500,37.0,0.0
Bangsar,4771.495106327946,1,1,6500,26.9,0.049
Bangsar,5968.676100688432,2,0,6500,59.8,0.0
Bangsar,5672.058554159421,2,0,6500,58.4,0.0
Bangsar,5468.812966480345,1,2,6500,36.3,0.092
Bangsar,5795.849905048198,2,0,6500,59.0,0.0
Cheras,7344.913091052134,2,2,9500,66.7,0.135
Bukit Bintang,8664.232556861163,1,0,11000,52.3,0.0
Bukit Bintang,8100.528593572852,2,2,11000,70.5,0.156
Bukit Bintang,7792.337045247336,2,0,11000,69.0,0.0
Bukit Bintang,7784.813197278644,0,3,11000,47.9,0.0
Bukit Bintang,8794.036902445216,2,0,11000,74.0,0.0
Cheras,7747.087091097949,2,3,9500,68.7,0.0
Bangsar,4782.459077368403,2,1,6500,47.9,0.049
Cheras,6587.826500629304,2,3,9500,62.9,0.0
Bukit Bintang,8515.04943843639,2,2,11000,72.6,0.156
Bangsar,4536.427396195089,0,1,6500,25.7,0.049
Bukit Bintang,9043.360159769829,2,2,11000,75.2,0.156
Bangsar,6716.7229787412725,2,2,6500,63.6,0.092
Cheras,7484.266151019219,1,2,9500,46.4,0.135
Cheras,6719.470602869028,2,1,9500,57.6,0.072
Bangsar,5944.02214212676,1,1,6500,32.7,0.049
Bukit Bintang,8717.95439346985,2,0,11000,73.6,0.0
Bangsar,5664.971899134215,1,2,6500,37.3,0.092
Cheras,6596.747091740897,1,2,9500,42.0,0.135
Bangsar,5751.369492072581,2,1,6500,52.8,0.049
Bangsar,5135.702575224903,2,3,6500,55.7,0.0
Bangsar,5538.998227271679,2,2,6500,57.7,0.092
Bukit Bintang,7737.395065470522,2,0,11000,68.7,0.0
Bukit Bintang,8181.753645692848,2,2,11000,70.9,0.156
Bukit Bintang,8543.376330461542,1,0,11000,51.7,0.0
Cheras,5830.015296937377,2,2,9500,59.2,0.135
Bukit Bintang,7423.909524252954,0,1,11000,40.1,0.083
Bukit Bintang,8313.926532414858,2,3,11000,71.6,0.0
Bukit Bintang,7571.480208206369,0,1,11000,40.9,0.083
Bukit Bintang,6890.575236192602,0,0,11000,43.5,0.0
Bangsar,6324.872151428524,1,3,6500,40.6,0.0
Cheras,6699.309716044953,1,1,9500,36.5,0.072
Bukit Bintang,8471.704911544784,1,1,11000,45.4,0.083
Cheras,6458.93732356851,1,3,9500,41.3,0.0
Bangsar,3725.2537488636276,0,1,6500,21.6,0.049
Cheras,5996.9657803093405,2,1,9500,54.0,0.072
Bukit Bintang,8749.027255726265,2,1,11000,67.7,0.083
Bukit Bintang,8199.07001133591,1,2,11000,50.0,0.156
Cheras,7275.158417272092,0,2,9500,60.4,0.018
Bangsar,5346.896505327278,0,1,6500,29.7,0.049
Bukit Bintang,8224.013457793166,2,0,11000,71.1,0.0
Bangsar,5315.530030765761,1,2,6500,35.6,0.092
Cheras,7734.384658124857,1,2,9500,47.7,0.135
Bangsar,5323.139331174397,2,1,6500,50.6,0.049
Cheras,7112.923265331237,0,3,9500,44.6,0.0
Cheras,7599.748369665364,1,3,9500,47.0,0.0
Bangsar,5405.963455663336,2,0,6500,57.0,0.0
Bangsar,4292.520235132284,0,0,6500,30.5,0.0
Cheras,6900.344574223494,2,0,9500,64.5,0.0
Cheras,5826.859019455155,2,1,9500,53.1,0.072
Bukit Bintang,7489.292600041766,0,3,11000,46.4,0.0
Bukit Bintang,8917.497706447364,1,1,11000,47.6,0.083
Bangsar,6141.070826057371,2,2,6500,60.7,0.092
Cheras,7065.190636913392,2,1,9500,59.3,0.072
Bangsar,5505.265404981322,2,3,6500,57.5,0.0
Bangsar,4923.524890848016,0,2,6500,48.6,0.012
Bangsar,4282.534063131044,0,1,6500,24.4,0.049
Bangsar,5149.20932067591,1,2,6500,34.7,0.092
Bukit Bintang,8577.514757339033,2,1,11000,66.9,0.083
Bangsar,5125.449072770945,1,0,6500,34.6,0.0
Cheras,6236.450267222521,0,1,9500,34.2,0.072
Cheras,6504.259789809085,1,0,9500,41.5,0.0
Bangsar,5078.036504159435,2,3,6500,55.4,0.0
Cheras,7231.567429337724,2,1,9500,60.2,0.072
Bangsar,5328.759125680809,2,3,6500,56.6,0.0
Bangsar,4171.769343977149,0,2,6500,44.9,0.012
Bukit Bintang,7885.064789728842,1,0,11000,48.4,0.0
Bangsar,6754.500702874975,1,0,6500,42.8,0.0
Bangsar,3855.748838013786,0,0,6500,28.3,0.0
Bangsar,5575.958784999583,1,0,6500,36.9,0.0
Bangsar,4925.543449361631,0,1,6500,27.6,0.049
Bangsar,5247.724943728272,0,3,6500,35.2,0.0
Bukit Bintang,7094.324538398889,0,1,11000,38.5,0.083
Cheras,6841.06668592831,1,1,9500,37.2,0.072
Bukit Bintang,8282.855290940692,2,1,11000,65.4,0.083
Cheras,7108.219325213568,2,3,9500,65.5,0.0
Bangsar,5255.613975509478,1,0,6500,35.3,0.0
Bangsar,5976.231852127043,2,0,6500,59.9,0.0
Bangsar,6087.954139136121,1,3,6500,39.4,0.0
Cheras,6855.608755649186,2,0,9500,64.3,0.0
Cheras,6305.459584335957,2,0,9500,61.5,0.0
Bangsar,5258.005511176952,1,1,6500,29.3,0.049
Bukit Bintang,8567.491180761914,2,1,11000,66.8,0.083
Bangsar,4824.628188818233,0,1,6500,27.1,0.049
Bukit Bintang,8855.832926756546,2,1,11000,68.3,0.083
Bukit Bintang,6966.707548576417,0,0,11000,43.8,0.0
Cheras,6894.1731835807,2,0,9500,64.5,0.0
Cheras,7574.127604485246,2,2,9500,67.9,0.135
Bukit Bintang,8112.423805213555,2,3,11000,70.6,0.0
Bangsar,5888.83079442937,1,2,6500,38.4,0.092
Bukit Bintang,7730.593858341077,2,3,11000,68.7,0.0
Bukit Bintang,8110.87918895211,2,2,11000,70.6,0.156
Bangsar,5137.299357748501,1,2,6500,34.7,0.092
Bangsar,6255.754633778072,2,1,6500,55.3,0.049
Cheras,6606.028962002353,2,3,9500,63.0,0.0
Bangsar,5974.859456681086,2,3,6500,59.9,0.0
Bangsar,5959.988531329903,1,3,6500,38.8,0.0
Bangsar,5731.903061004909,1,1,6500,31.7,0.049
Bangsar,4356.4367114344195,0,2,6500,45.8,0.012
Cheras,6404.333497305806,0,0,9500,41.0,0.0
Bukit Bintang,7836.619671840139,0,1,11000,42.2,0.083
Bangsar,4721.600166888133,2,3,6500,53.6,0.0
Bangsar,5887.700050086065,1,1,6500,32.4,0.049
Bangsar,6177.126285964804,1,1,6500,33.9,0.049
Bangsar,4782.907133481338,2,0,6500,53.9,0.0
Bangsar,5111.751985149012,0,1,6500,28.6,0.049
Bangsar,4879.0530174365,1,0,6500,33.4,0.0
Bukit Bintang,7454.577281851571,0,1,11000,40.3,0.083
Bukit Bintang,7925.64579807507,1,2,11000,48.6,0.156
Bangsar,5775.201098293003,2,2,6500,58.9,0.092
Bangsar,4538.649466993817,0,0,6500,31.7,0.0
Cheras,5904.133320354718,0,3,9500,38.5,0.0
Cheras,8076.713986546694,2,1,9500,64.4,0.072
